report_id,wellbore_id,pdf_name,page_number,row_index,Time,Depth mMD,Depth TVD,Equ Mud Weight (g/cm3),Reading
117,15/9-19 B,15_9_19_B_1997_11_16.pdf,2,1,00:00,3039,,1.03,estimated
118,15/9-19 B,15_9_19_B_1997_11_17.pdf,2,1,00:00,3039,,1.03,estimated
119,15/9-19 B,15_9_19_B_1997_11_18.pdf,2,1,00:00,3054,,1.03,estimated
120,15/9-19 B,15_9_19_B_1997_11_19.pdf,2,1,00:00,3054,,1.03,estimated
121,15/9-19 B,15_9_19_B_1997_11_20.pdf,1,1,00:00,3054,,1.03,estimated
122,15/9-19 B,15_9_19_B_1997_11_21.pdf,1,1,00:00,3054,,1.03,estimated
123,15/9-19 B,15_9_19_B_1997_11_22.pdf,1,1,00:00,3054,,1.03,estimated
124,15/9-19 B,15_9_19_B_1997_11_23.pdf,1,1,00:00,3054,,1.03,estimated
125,15/9-19 B,15_9_19_B_1997_11_24.pdf,2,1,00:00,3054,,1.03,estimated
126,15/9-19 B,15_9_19_B_1997_11_25.pdf,2,1,00:00,3054,,1.03,estimated
127,15/9-19 B,15_9_19_B_1997_11_26.pdf,2,1,00:00,3054,,1.03,estimated
128,15/9-19 B,15_9_19_B_1997_11_27.pdf,2,1,00:00,3183,,1.03,estimated
129,15/9-19 B,15_9_19_B_1997_11_28.pdf,2,1,00:00,3272,,1.03,estimated
130,15/9-19 B,15_9_19_B_1997_11_29.pdf,2,1,00:00,3272,,1.03,estimated
131,15/9-19 B,15_9_19_B_1997_11_30.pdf,2,1,00:00,3272,,1.03,estimated
132,15/9-19 B,15_9_19_B_1997_12_01.pdf,2,1,00:00,3272,,1.03,estimated
133,15/9-19 B,15_9_19_B_1997_12_02.pdf,2,1,00:00,3272,,1.03,estimated
134,15/9-19 B,15_9_19_B_1997_12_03.pdf,2,1,00:00,3272,,1.03,estimated
135,15/9-19 B,15_9_19_B_1997_12_04.pdf,2,1,00:00,3272,,1.03,estimated
136,15/9-19 B,15_9_19_B_1997_12_05.pdf,2,1,00:00,3272,,1.03,estimated
138,15/9-19 BT2,15_9_19_BT2_1997_12_06.pdf,1,1,00:00,3042,,1.03,estimated
140,15/9-19 BT2,15_9_19_BT2_1997_12_08.pdf,2,1,00:00,3220,,1.03,estimated
141,15/9-19 BT2,15_9_19_BT2_1997_12_09.pdf,2,1,00:00,3220,,1.03,estimated
