quality_check_id,table_name,field_name,severity,check_name,message,report_id
1733,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,235.0
1734,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,236.0
1735,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,236.0
1736,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,236.0
1737,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,236.0
1738,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 5,236.0
1739,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 6,236.0
1740,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,237.0
1741,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,237.0
1742,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,237.0
1743,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,237.0
1744,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 5,237.0
1745,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 6,237.0
1746,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,238.0
1747,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,238.0
1748,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,238.0
1749,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 7,238.0
1750,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 8,238.0
1751,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 9,238.0
1752,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 10,238.0
1753,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 11,238.0
1754,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 12,238.0
1755,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,239.0
1756,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,239.0
1757,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,239.0
1758,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 3,239.0
1759,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,239.0
1760,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,240.0
1761,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,240.0
1762,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,240.0
1763,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 5,240.0
1764,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 6,240.0
1765,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 7,240.0
1766,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 8,240.0
1767,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,241.0
1768,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,241.0
1769,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,241.0
1770,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 2,241.0
1771,reports,depth_current_mtvd,info,value_missing_before_next_label,No accepted value for depth_current_mtvd,242.0
1772,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,242.0
1773,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,242.0
1774,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,242.0
1775,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 2,242.0
1776,reports,depth_current_mmd,warning,metadata_value_rejected,Rejected raw value '-999.99' for depth_current_mmd,243.0
1777,reports,depth_current_mtvd,info,value_missing_before_next_label,No accepted value for depth_current_mtvd,243.0
1778,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,243.0
1779,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,243.0
1780,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,243.0
1781,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 2,243.0
1782,reports,depth_current_mmd,warning,metadata_value_rejected,Rejected raw value '-999.99' for depth_current_mmd,244.0
1783,reports,depth_current_mtvd,info,value_missing_before_next_label,No accepted value for depth_current_mtvd,244.0
1784,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,244.0
1785,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,244.0
1786,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,244.0
1787,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 5,244.0
1788,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 6,244.0
