operation_id,start_time,end_time,end_depth_mmd,main_activity,sub_activity,state,remark,activity_label,ner_entities,ner_depths,ner_equipment,ner_measurements,ner_time_refs,report_id
5138,12:30,13:00,1348.0,interruption,rep air,ok,Made up connection on pack-off. Checked and re-tightent allen screw lock keys securing pack-off on FAC.,OTHER,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],599
5139,13:00,15:30,1527.0,drilling,casing,ok,"RIH 14"" 169.65 kg/m csg from 1348 m to 1527 m filling every joint with 1.42 sg OBM. Average running speed 7 jts./hr. Unable to function power tong stabbing guide due to broken fitting on hydraulic hose.",TRIP_IN,"{""depths"": [""1348 m"", ""1527 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""1348 m"", ""1527 m""]",[],[],[],599
5140,15:30,16:00,1527.0,interruption,rep air,ok,Removed hydraulic hose on stabbing guide and blanked off fitting on power tong.,REPAIR,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],599
5141,16:00,00:00,2133.0,drilling,casing,ok,"RIH 14"" 169.65 kg/m csg from 1527 m to 2133 m filling every joint with 1.42 sg OBM. Average running speed 8 jts./hr.",TRIP_IN,"{""depths"": [""1527 m"", ""2133 m""], ""equipment"": [], ""measurements"": [], ""time_refs"": []}","[""1527 m"", ""2133 m""]",[],[],[],599
5142,00:00,03:30,2424.0,drilling,casing,ok,"RIH 14"" 169.65 kg/m csg from 2133 m to 2424 m filling every joint with 1.42 sg OBM.Recorded Up/Dw weight 430/320 MT. Average running speed 8 jts./hr.",TRIP_IN,"{""depths"": [""2133 m"", ""2424 m""], ""equipment"": [], ""measurements"": [""320 mt""], ""time_refs"": []}","[""2133 m"", ""2424 m""]",[],"[""320 mt""]",[],600
5143,03:30,05:00,2424.0,drilling,casing,ok,"Changed to 5 1/2"" handling equipment.",CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],600
5144,05:00,06:00,2424.0,drilling,casing,ok,"P/U and M/U 14"" casing hanger. Attempted to pick up 14"" casing hanger and RIH. Observed draw work drum pay out.",TRIP_IN,"{""depths"": [], ""equipment"": [""casing""], ""measurements"": [], ""time_refs"": []}",[],"[""casing""]",[],[],600
5145,06:00,11:00,2433.0,interruption,re pair,ok,"Troubleshoot drawwork failure. Meanwhile: Removed auto slips and lowered 14"" casing hanger below rotary in a controlled sequence, Up/Dw weight 430/320 MT. Installed master bushing and made up circulation s wedge. Circulated with 200 lpm, 9 bar, 14"" casing shoe at 2433 m.",EQUIPMENT_FAILURE,"{""depths"": [""2433 m""], ""equipment"": [""casing"", ""slips""], ""measurements"": [""9 bar"", ""200 lpm"", ""320 mt""], ""time_refs"": []}","[""2433 m""]","[""casing"", ""slips""]","[""9 bar"", ""200 lpm"", ""320 mt""]",[],600
5146,11:00,12:30,2433.0,drilling,casing,ok,"Shot down pumps and flowchecked. R/D casing power tong, circulation swedge and surface lines.",CUT,"{""depths"": [], ""equipment"": [""casing""], ""measurements"": [], ""time_refs"": []}",[],"[""casing""]",[],[],600
5147,12:30,14:00,2552.0,drilling,casing,ok,"RIH 14"" 169.65 kg/m casing on 5 1/2"" HWDP from 2433 m to 2516 m. Washed down from 2516 m to 2552 m with 500 lpm, 11 bar",TRIP_IN,"{""depths"": [""2433 m"", ""2516 m"", ""2552 m""], ""equipment"": [""casing"", ""hwdp""], ""measurements"": [""11 bar"", ""500 lpm""], ""time_refs"": []}","[""2433 m"", ""2516 m"", ""2552 m""]","[""casing"", ""hwdp""]","[""11 bar"", ""500 lpm""]",[],600
5148,14:00,15:30,2552.0,drilling,casing,ok,"Recorded hole restriction at 2552 m. Worked and washed pass restriction with 1000 lpm, 16 bar, Up/Dw weight 440/318 MT.",CUT,"{""depths"": [""2552 m""], ""equipment"": [], ""measurements"": [""16 bar"", ""1000 lpm"", ""318 mt""], ""time_refs"": []}","[""2552 m""]",[],"[""16 bar"", ""1000 lpm"", ""318 mt""]",[],600
5149,15:30,16:30,2571.0,drilling,casing,ok,"M/U cement assembly and landed hanger at HOP 140.38 m. Set down 7 MT and marked pipe. Picked up and recorded 45 MT overpull, marked pipe. Rotated landing string one right hand turn and verified stem free.",CEMENT,"{""depths"": [""140.38 m""], ""equipment"": [], ""measurements"": [""7 mt"", ""45 mt""], ""time_refs"": []}","[""140.38 m""]",[],"[""7 mt"", ""45 mt""]",[],600
5150,16:30,18:30,0.0,drilling,other,ok,"R/U cement hoses and circulated 1.5 B/U with 3000 lpm, 60 bar. No losses observed.",CEMENT,"{""depths"": [], ""equipment"": [], ""measurements"": [""60 bar"", ""3000 lpm""], ""time_refs"": []}",[],[],"[""60 bar"", ""3000 lpm""]",[],600
5151,18:30,21:00,0.0,drilling,other,ok,"Pumped 25 m3 of 1.75 SG spacer and dropped bottom dart. Mixed and pumped 24 m3 of 1.90 SG cement slurry, 600 lpm. Displaced the cement to the rig floor with 0.88 m 3 and dropped top dart. Zeroed stroke counters and displaced cement with 183 m3, 8262 strokes of 1.42 SG mud, 2970 lpm. Observed bottom plug shear after 7290 strokes.",CEMENT,"{""depths"": [""0.88 m""], ""equipment"": [], ""measurements"": [""600 lpm"", ""2970 lpm"", ""25 m3"", ""24 m3"", ""183 m3""], ""time_refs"": []}","[""0.88 m""]",[],"[""600 lpm"", ""2970 lpm"", ""25 m3"", ""24 m3"", ""183 m3""]",[],600
5152,21:00,21:30,0.0,drilling,other,ok,"Stepped down pumps to 500 lpm, FCP 31 bar and bumped top plug after 188 m3, 8480 strokes pumped. Pressured up t0 90 bar/10 min and eqaulized lines to cement unit.",CEMENT,"{""depths"": [], ""equipment"": [], ""measurements"": [""31 bar"", ""90 bar"", ""500 lpm"", ""188 m3""], ""time_refs"": []}",[],[],"[""31 bar"", ""90 bar"", ""500 lpm"", ""188 m3""]",[],600
5153,21:30,23:00,0.0,drilling,casing,ok,"Pressure tested casing to 340 bar/10 min, 2.2/2.2 m3 Pumped/Returned",PRESSURE_TEST,"{""depths"": [], ""equipment"": [""casing""], ""measurements"": [""340 bar"", ""2.2 m3""], ""time_refs"": []}",[],"[""casing""]","[""340 bar"", ""2.2 m3""]",[],600
5154,23:00,00:00,0.0,drilling,casing,ok,"Slacked off weight and marked pipe. Picked up 45 MT overpull test, slacked of and rotated pipe 3.5 RH turns, Marked pipe and recorded 8.5"" travel. Sat seal assembly with 207 bar/10 min and picked up 45 MT.",CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [""207 bar"", ""45 mt""], ""time_refs"": []}",[],[],"[""207 bar"", ""45 mt""]",[],600
5155,00:00,01:00,0.0,drilling,bop/wellhead equipment,ok,Closed annular preventer and attempted to pressure test seal assembly to 345 bar/10 min - NoGo. Unable to establish decreasing trend.,PRESSURE_TEST,"{""depths"": [], ""equipment"": [], ""measurements"": [""345 bar""], ""time_refs"": []}",[],[],"[""345 bar""]",[],601
5156,01:00,02:30,0.0,drilling,casing,ok,Released hanger running tool. L/O cement head and circulated wash balls. POOH and L/O hanger running tool.,TRIP_OUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],601
5157,02:30,03:00,0.0,drilling,casing,ok,Cleaned and cleared rig floor.,CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],601
5158,03:00,05:00,0.0,drilling,bop/wellhead equipment,ok,M/U wearbushing running and combination tool. RIH and set wear bushing.,TRIP_IN,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],601
