equipment_failure_id,start_time,depth_mmd,system_class,downtime_min,repaired_time,remark,ner_entities,ner_depths,ner_equipment,ner_measurements,ner_time_refs,report_id
156,00:00,0.0,miscellaneous equ syst -- wellhead subsea run test,0.0,00:00,Attempted to split and repair MS-seal setting tool - nogo. Waiting for new tool from town.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],723
157,00:00,2290.0,pipe handling equ syst -- vertical pipe handling equ syst,0.0,00:00,Securing pins for vertical hose bundle were torn off due to high winds cathcing the hose bundle itself. Halted operation a s aloft work was impossible because of the high winds.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],729
158,00:00,2578.0,pipe handling equ syst -- other,0.0,00:00,Not able to released PS-21 slips after connectin.,"{""depths"": [], ""equipment"": [""slips""], ""measurements"": [], ""time_refs"": []}",[],"[""slips""]",[],[],729
159,00:00,2175.0,miscellaneous equ syst -- o ther,0.0,00:00,ESD/Siemens testing interrupting main power supply. Had to re-set and calibrate rig equipment after powe r shut down.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],731
160,00:00,440.0,miscellaneous equ syst -- o ther,0.0,00:00,Derrick inspection due to falling object.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],731
161,00:00,1311.0,pipe handling equ syst -- manual tong,0.0,00:00,VFD-fault (electrical problem) on PRS racking arm .,"{""depths"": [], ""equipment"": [""prs""], ""measurements"": [], ""time_refs"": []}",[],"[""prs""]",[],[],740
162,00:00,3007.0,service equ -- o ther,0.0,00:00,"Gauge line broke while wrapping it around tubing hanger neck. Inconel gauge lines comes in three different qualities: 26, 35 and 45. This line was of # 26 quality, paper thin and would break if it was slightly bent in two different directions. It was thus a","{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],747
163,00:00,0.0,pipe handling equ syst -- eleva tor,0.0,00:00,"Problems with elevators malfunction, investigated same. Changed out elevators and function teste d same.","{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],750
164,00:00,0.0,service equ -- other,0.0,00:00,Observed leak in the test hose from the pump during low pressure test. Changed hose and continued with leak test.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],768
165,00:00,1400.0,service equ -- electr logging equ,0.0,00:00,Lost communication with toolstring. Decision made to POOH and troubleshoot. When out of hole not able to detect failure. Decision made to re-build cablehead and run full back up string.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],768
166,00:00,0.0,service equ -- other,0.0,00:00,Not able to achieve stable running speed with winch. Suspected overheating of hydraulic system,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],770
167,00:00,0.0,miscellaneous equ syst -- wellhead subsea run tes t,0.0,00:00,No communication w/ DHSV,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],773
168,00:00,0.0,service equ -- cementing unit,0.0,00:00,Cementing pump tripped. Troubleshoot,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],773
169,00:00,0.0,pipe handling equ syst -- drill floor tube handl syst,0.0,00:00,overtorqued connection due to wrong casing tong settings,"{""depths"": [], ""equipment"": [""casing""], ""measurements"": [], ""time_refs"": []}",[],"[""casing""]",[],[],773
170,00:00,2356.0,pipe handling equ sys t -- elevator,0.0,00:00,"Loose std in Derrick, recovered std using FWD PRS and return to TDS. Hold std with AFT PRS to lower down TDS to inspect Elevator s. Elevators found to be damaged, changed out to spare set.","{""depths"": [], ""equipment"": [""elevator"", ""tds"", ""prs""], ""measurements"": [], ""time_refs"": []}",[],"[""elevator"", ""tds"", ""prs""]",[],[],775
171,00:00,0.0,miscellaneous equ syst -- wellhead subsea run tes t,0.0,00:00,back up THRT not being able to communicate with DHSV,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],776
172,00:00,0.0,drillstring downhole -- subs and lift plugs,0.0,00:00,wrong x-over delivered to the rig,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],779
173,00:00,0.0,hoisting equ -- top drive,0.0,00:00,Leak developed from the topdrive while milling (wash pipe) Leak developed in the connection of hydraulic hose Leak developed from the topdrive while milling (wash pipe) POD on BOP leaked,"{""depths"": [], ""equipment"": [""bop""], ""measurements"": [], ""time_refs"": []}",[],"[""bop""]",[],[],780
174,00:00,63.0,miscellaneous equ syst -- subsea inspection syst,0.0,00:00,ROV lost 3-finger claw in well. Remedial junk run needed in to remove/dislodge the junk.,"{""depths"": [], ""equipment"": [""rov""], ""measurements"": [], ""time_refs"": []}",[],"[""rov""]",[],[],799
175,00:00,211.0,service equ -- special service equ,0.0,00:00,Pull out of hole to fix problem with UBHO sleeve.,"{""depths"": [], ""equipment"": [""ubho""], ""measurements"": [], ""time_refs"": []}",[],"[""ubho""]",[],[],799
176,00:00,0.0,miscellaneous equ syst -- h ydr pneum power packs,0.0,00:00,Trip on drillinghydraulics,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],817
177,00:00,0.0,pipe handling equ syst -- elevator,0.0,00:00,"When running 14"" casing the elevator tilt adaptor for the BX-2 frame was missing. Hence it was not possible to tilit the elevator for picking up c asing from the HTS (catwalk). In order to get going with the casing running, a tugger was attached to an eye b","{""depths"": [], ""equipment"": [""elevator"", ""casing""], ""measurements"": [], ""time_refs"": []}",[],"[""elevator"", ""casing""]",[],[],817
178,00:00,49.0,pipe handling equ syst -- elevator,0.0,00:00,Hooked up elevator tilt adaptor. Not able to function elevator tilt when recommencing casing running.,"{""depths"": [], ""equipment"": [""elevator"", ""casing""], ""measurements"": [], ""time_refs"": []}",[],"[""elevator"", ""casing""]",[],[],817
179,00:00,2276.0,miscellaneous equ syst -- wellhead subsea run tes t,0.0,00:00,"Not able to get good test on MS seal in 14"" casing hanger .","{""depths"": [], ""equipment"": [""casing""], ""measurements"": [], ""time_refs"": []}",[],"[""casing""]",[],[],820
180,00:00,2276.0,miscellaneous equ syst -- wellhead subsea run tes t,0.0,00:00,Not able to release Vetco PADPRT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],820
